vol,ask,bid,open,close,high,low,start,end
1411060,127328.25,127313.75,4399.5,4368.5,4408.5,4363,2023-05-23 08:30:00,2023-05-23 15:30:00
1582220,125726.5,125712.5,4350.5,4351,4358.25,4324,2023-05-24 08:30:00,2023-05-24 15:30:00
1549341,126607.5,126593,4371.75,4369.5,4385.5,4347.5,2023-05-25 08:30:00,2023-05-25 15:30:00
1427006,128041,128024,4380.25,4429.25,4431.25,4375.5,2023-05-26 08:30:00,2023-05-26 15:30:00
28515,66521,66513.5,4432.5,4438.25,4437.25,4430.25,2023-05-29 08:30:00,2023-05-29 17:15:00
1549450,128401.5,128387.25,4447.25,4425.25,4449,4410,2023-05-30 08:30:00,2023-05-30 15:30:00
1805654,127559.5,127545,4406,4401.5,4414.5,4384,2023-05-31 08:30:00,2023-05-31 15:30:00
1537275,128394,128378.5,4401.75,4440.75,4449.75,4388,2023-06-01 08:30:00,2023-06-01 15:30:00
1608744,130273.75,130257.75,4462.75,4498.75,4507.75,4459,2023-06-02 08:30:00,2023-06-02 15:30:00
1416090,130585.75,130571.25,4500.75,4491.75,4515.75,4483,2023-06-05 08:30:00,2023-06-05 15:30:00
1304211,130331.25,130316.75,4489.5,4501.75,4504.75,4478.5,2023-06-06 08:30:00,2023-06-06 15:30:00
1640103,130278.25,130263.75,4503.5,4485,4514.75,4479.25,2023-06-07 08:30:00,2023-06-07 15:30:00
1247165,130461.25,130446.75,4482.5,4506.5,4512.5,4474.5,2023-06-08 08:30:00,2023-06-08 15:30:00
1254873,131056.25,131041.75,4512,4519,4535.5,4504,2023-06-09 08:30:00,2023-06-09 15:30:00
993886,131442,131427.75,4528.5,4554.75,4555.75,4517.5,2023-06-12 08:30:00,2023-06-12 15:30:00
1446872,132813.5,132799.25,4579,4582,4589.5,4562.25,2023-06-13 08:30:00,2023-06-13 15:30:00
1542718,133053.5,133039,4586.5,4588.25,4605.75,4549.75,2023-06-14 08:30:00,2023-06-14 15:30:00
1485148,133959,133943,4572.5,4635.25,4651.75,4572.25,2023-06-15 08:30:00,2023-06-15 15:30:00
1479487,134550.75,134536.25,4646.25,4627.75,4660,4617.25,2023-06-16 08:30:00,2023-06-16 15:30:00
46241,69200.25,69192.75,4616.25,4612.75,4616.75,4609.25,2023-06-19 08:30:00,2023-06-19 17:15:00
1178994,133355.75,133341.75,4609.25,4598.5,4611,4576.75,2023-06-20 08:30:00,2023-06-20 15:30:00
1239246,132902.5,132888,4586.25,4575.75,4597,4569.75,2023-06-21 08:30:00,2023-06-21 15:30:00
1097784,132777,132762.75,4563,4589.25,4591.75,4560,2023-06-22 08:30:00,2023-06-22 15:30:00
1224400,132289.75,132275.5,4557.25,4552.75,4574.25,4547.75,2023-06-23 08:30:00,2023-06-23 15:30:00
1352800,131954.75,131940.25,4552.5,4540,4569.25,4534.75,2023-06-26 08:30:00,2023-06-26 15:30:00
1253553,132530.75,132515.75,4545.5,4581,4591,4540.75,2023-06-27 08:30:00,2023-06-27 15:30:00
1435132,132808.5,132794,4573.5,4589.5,4596.5,4565.5,2023-06-28 08:30:00,2023-06-28 15:30:00
1322602,133210.75,133196.5,4581.25,4603.75,4604.25,4576,2023-06-29 08:30:00,2023-06-29 15:30:00
1379513,134904,134889.5,4636.25,4648.25,4664.25,4631.25,2023-06-30 08:30:00,2023-06-30 15:30:00
441615,74476,74468,4650.75,4654.75,4660.25,4645.75,2023-07-03 08:30:00,2023-07-03 17:15:00
20613,69852,69844.75,4654.75,4655.75,4658,4654.5,2023-07-04 08:30:00,2023-07-04 17:15:00
870593,134885.75,134871.25,4638.5,4649.5,4657.5,4636.25,2023-07-05 08:30:00,2023-07-05 15:30:00
1340231,133543.5,133529.25,4610.25,4611.5,4617.25,4585.75,2023-07-06 08:30:00,2023-07-06 15:30:00
1285900,134018.75,134004,4603.75,4605,4642.25,4598,2023-07-07 08:30:00,2023-07-07 15:30:00
1065243,133513.75,133499.25,4598,4612,4614.5,4590.25,2023-07-10 08:30:00,2023-07-10 15:30:00
1104682,134103.25,134089.25,4622.25,4639,4644.75,4608.25,2023-07-11 08:30:00,2023-07-11 15:30:00
1418459,135669.25,135654.75,4679.25,4677,4690,4663.25,2023-07-12 08:30:00,2023-07-12 15:30:00
897900,136324.5,136310,4690.75,4705.25,4717.75,4687.5,2023-07-13 08:30:00,2023-07-13 15:30:00
1147346,136668.75,136654.5,4716.75,4701.75,4726.75,4697.25,2023-07-14 08:30:00,2023-07-14 15:30:00
868616,136782.25,136768,4699.5,4717.25,4732,4699.25,2023-07-17 08:30:00,2023-07-17 15:30:00
1082434,137499.25,137484.75,4714.75,4750.75,4760.75,4711.5,2023-07-18 08:30:00,2023-07-18 15:30:00
1287915,138219,138204.5,4759.25,4761,4775.5,4754.75,2023-07-19 08:30:00,2023-07-19 15:30:00
1260244,137555.5,137541,4746,4734,4760.5,4723.5,2023-07-20 08:30:00,2023-07-20 15:30:00
1206319,137491.75,137477.25,4753.25,4728.75,4754.75,4728.5,2023-07-21 08:30:00,2023-07-21 15:30:00
995700,137749.5,137735,4739.75,4751.75,4758.75,4735,2023-07-24 08:30:00,2023-07-24 15:30:00
1010503,138103.25,138088.75,4747.25,4769.25,4775,4745.5,2023-07-25 08:30:00,2023-07-25 15:30:00
1136112,137885.5,137871,4750.75,4764,4777,4740,2023-07-26 08:30:00,2023-07-26 15:30:00
1584583,138320.25,138303.25,4796.25,4734,4799.75,4720,2023-07-27 08:30:00,2023-07-27 15:30:00
1195038,138390,138375.5,4759,4774,4782.75,4755,2023-07-28 08:30:00,2023-07-28 15:30:00
1027476,138489.25,138474.75,4781.75,4783.25,4785.5,4764,2023-07-31 08:30:00,2023-07-31 15:30:00
938426,138225,138210.5,4764.75,4767.25,4775.5,4757.25,2023-08-01 08:30:00,2023-08-01 15:30:00
1447482,136652,136636.75,4734.5,4704,4737,4694,2023-08-02 08:30:00,2023-08-02 15:30:00
1353708,136064.5,136050.25,4684.5,4703.25,4706.75,4672,2023-08-03 08:30:00,2023-08-03 15:30:00
1615354,136302,136287.25,4706.5,4666.5,4727,4660,2023-08-04 08:30:00,2023-08-04 15:30:00
1137870,136089,136074.5,4685.25,4707,4707.5,4676.75,2023-08-07 08:30:00,2023-08-07 15:30:00
1359958,135342,135327.5,4670.75,4683,4688.5,4648.25,2023-08-08 08:30:00,2023-08-08 15:30:00
1412714,135420.75,135406.25,4688,4659.25,4689.5,4644.5,2023-08-09 08:30:00,2023-08-09 15:30:00
1870461,135421,135404.5,4680.5,4653.25,4711,4639.75,2023-08-10 08:30:00,2023-08-10 15:30:00
1250218,134692,134677.5,4639,4650.5,4659.25,4625.25,2023-08-11 08:30:00,2023-08-11 15:30:00
1004062,135125.5,135111,4640,4673.25,4674,4635.25,2023-08-14 08:30:00,2023-08-14 15:30:00
1149884,134384,134369.5,4648.75,4620.25,4657.25,4613.25,2023-08-15 08:30:00,2023-08-15 15:30:00
1255108,133738,133723.5,4613.5,4584.5,4631.75,4583.25,2023-08-16 08:30:00,2023-08-16 15:30:00
1336760,132774.75,132760.25,4598.75,4546.5,4602,4544.75,2023-08-17 08:30:00,2023-08-17 15:30:00
1380021,131712,131697.5,4528.25,4549,4562.25,4516.25,2023-08-18 08:30:00,2023-08-18 15:30:00
1134998,132333,132318.75,4559.25,4574.75,4587.25,4538.5,2023-08-21 08:30:00,2023-08-21 15:30:00
1133671,132663.5,132649,4595.5,4564.75,4598.25,4560.5,2023-08-22 08:30:00,2023-08-22 15:30:00
1015802,133571.25,133556,4576,4630.25,4635.5,4573.25,2023-08-23 08:30:00,2023-08-23 15:30:00
1478787,133001.5,132984,4633,4546.5,4635,4546.25,2023-08-24 08:30:00,2023-08-24 15:30:00
1616752,132530.75,132516,4567.5,4581.5,4595.25,4531.5,2023-08-25 08:30:00,2023-08-25 15:30:00
1076454,133454.75,133440.25,4602.25,4610,4615.75,4589.5,2023-08-28 08:30:00,2023-08-28 15:30:00
1195341,134942.25,134926.5,4604.25,4674,4675.75,4602,2023-08-29 08:30:00,2023-08-29 15:30:00
1117954,135960,135945.5,4675.5,4693,4697,4667.25,2023-08-30 08:30:00,2023-08-30 15:30:00
1132892,136144.5,136130.25,4696,4684,4706,4679,2023-08-31 08:30:00,2023-08-31 15:30:00
1106603,135958,135943.75,4709.5,4687,4714,4673.5,2023-09-01 08:30:00,2023-09-01 15:30:00
45365,70312.5,70305.25,4691.75,4684.5,4694.5,4681.5,2023-09-04 08:30:00,2023-09-04 17:15:00
1003708,135644.75,135630.25,4680,4667.25,4687,4666.25,2023-09-05 08:30:00,2023-09-05 15:30:00
1354368,134417.75,134402,4659,4635.25,4660.5,4613.25,2023-09-06 08:30:00,2023-09-06 15:30:00
1210669,133918.75,133904.25,4604.75,4623.5,4629.25,4600.5,2023-09-07 08:30:00,2023-09-07 15:30:00
908603,134299.75,134285.25,4621.5,4633,4643.75,4617.75,2023-09-08 08:30:00,2023-09-08 15:30:00
773042,134870,134855.5,4652.75,4655.75,4660.5,4636.5,2023-09-11 08:30:00,2023-09-11 15:30:00
915238,134553.5,134539.25,4639.5,4631.5,4656,4624.25,2023-09-12 08:30:00,2023-09-12 15:30:00
1066849,134510,134496,4626.5,4637.5,4647.25,4620,2023-09-13 08:30:00,2023-09-13 15:30:00
1172034,135359,135344.5,4659.75,4678,4679,4645,2023-09-14 08:30:00,2023-09-14 15:30:00
1472336,134272.75,134256.25,4662.75,4617.75,4663.75,4611,2023-09-15 08:30:00,2023-09-15 15:30:00
930000,134005,133990.5,4610.5,4620.5,4631.5,4607,2023-09-18 08:30:00,2023-09-18 15:30:00
1221288,133325.75,133311.5,4609,4608.25,4613.75,4579.25,2023-09-19 08:30:00,2023-09-19 15:30:00
1274145,133647.5,133633,4624,4563.75,4624.5,4560.5,2023-09-20 08:30:00,2023-09-20 15:30:00
1573123,130907.25,130892.75,4527.75,4484.25,4535.5,4483.75,2023-09-21 08:30:00,2023-09-21 15:30:00
1385616,130454.25,130439.75,4503.75,4481,4516,4474.25,2023-09-22 08:30:00,2023-09-22 15:30:00
1241004,129990,129975.5,4459,4498.5,4499.5,4458.5,2023-09-25 08:30:00,2023-09-25 15:30:00
1408092,128891.5,128876.25,4466.5,4437,4471,4422.5,2023-09-26 08:30:00,2023-09-26 15:30:00
1652105,128343,128328,4449.5,4437.25,4450.25,4394,2023-09-27 08:30:00,2023-09-27 15:30:00
1565822,129089.25,129072.5,4425.75,4456.75,4472.75,4418,2023-09-28 08:30:00,2023-09-28 15:30:00
1697449,129277,129260.75,4485,4448.25,4488.25,4428,2023-09-29 08:30:00,2023-09-29 15:30:00
1581438,128466,128451.5,4431.5,4443.75,4454.75,4412.5,2023-10-02 08:30:00,2023-10-02 15:30:00
1836271,127260.5,127245.5,4413.25,4384.25,4434,4368.25,2023-10-03 08:30:00,2023-10-03 15:30:00
1653133,127481.5,127467,4389.75,4410.25,4421,4371.25,2023-10-04 08:30:00,2023-10-04 15:30:00
1351759,127562.75,127548.5,4400.5,4403.75,4417.75,4375,2023-10-05 08:30:00,2023-10-05 15:30:00
1730726,128656.75,128641,4375.75,4462.5,4475.5,4368.5,2023-10-06 08:30:00,2023-10-06 15:30:00
1137269,129432.75,129415.75,4435.75,4486.25,4492.75,4433,2023-10-09 08:30:00,2023-10-09 15:30:00
1310679,130963.5,130947,4493,4508.5,4536,4488.25,2023-10-10 08:30:00,2023-10-10 15:30:00
1161987,130851.25,130836.75,4519.5,4534.25,4535.75,4494.25,2023-10-11 08:30:00,2023-10-11 15:30:00
1554353,130794.75,130778.75,4528.5,4498.5,4534.5,4472.5,2023-10-12 08:30:00,2023-10-12 15:30:00
1822002,130058.5,130043.75,4513,4469,4524.75,4457.75,2023-10-13 08:30:00,2023-10-13 15:30:00
1378822,131050.5,131036,4497.25,4524,4531.25,4494.75,2023-10-16 08:30:00,2023-10-16 15:30:00
1580710,130896.25,130881.75,4492.25,4516.5,4540.25,4482.75,2023-10-17 08:30:00,2023-10-17 15:30:00
1947077,129960.25,129945.75,4499.75,4466,4509.5,4447.75,2023-10-18 08:30:00,2023-10-18 15:30:00
2346592,128967.25,128952.75,4467.75,4414.5,4483.5,4409.75,2023-10-19 08:30:00,2023-10-19 15:30:00
1935993,127200,127183.75,4407.25,4364.25,4419.25,4360.5,2023-10-20 08:30:00,2023-10-20 15:30:00
1603180,126783.25,126768.75,4347,4366.5,4397.75,4330.25,2023-10-23 08:30:00,2023-10-23 15:30:00
1499551,127113.75,127099.25,4381.25,4388,4407.5,4359,2023-10-24 08:30:00,2023-10-24 15:30:00
1683539,125909.5,125895,4372,4333.5,4373,4320.75,2023-10-25 08:30:00,2023-10-25 15:30:00
1935103,124457.75,124441.5,4317.5,4282.75,4322,4263.25,2023-10-26 08:30:00,2023-10-26 15:30:00
1823641,123757.5,123743,4291,4255,4294.5,4239.25,2023-10-27 08:30:00,2023-10-27 15:30:00
1603293,124462.75,124448.25,4280.25,4301,4314.5,4269,2023-10-30 08:30:00,2023-10-30 15:30:00
1473343,125118.25,125104,4306.5,4320.25,4332,4288.75,2023-10-31 08:30:00,2023-10-31 15:30:00
1691788,126234.25,126219.75,4332.75,4372,4381.75,4332.5,2023-11-01 08:30:00,2023-11-01 15:30:00
1409849,128683.5,128668.5,4411.25,4449,4454.75,4407.75,2023-11-02 08:30:00,2023-11-02 15:30:00
1394944,130345,130328.25,4472.75,4496.5,4508.75,4472.25,2023-11-03 08:30:00,2023-11-03 15:30:00
949910,130376.75,130362.75,4497.75,4495,4506.5,4481.25,2023-11-06 08:30:00,2023-11-06 15:30:00
953550,130750.5,130736,4493.75,4516.5,4519.5,4489.25,2023-11-07 08:30:00,2023-11-07 15:30:00
1004777,130830,130815.5,4514.75,4513,4524.75,4492,2023-11-08 08:30:00,2023-11-08 15:30:00
1526058,130798.75,130783.25,4524.5,4479,4530,4475.5,2023-11-09 08:30:00,2023-11-09 15:30:00
1186312,130898.25,130883.75,4491.75,4545,4545.5,4484.75,2023-11-10 08:30:00,2023-11-10 15:30:00
909240,131707.5,131693,4538,4547.75,4553.75,4524.25,2023-11-13 08:30:00,2023-11-13 15:30:00
1370120,133940.5,133923.75,4546.75,4639,4641.25,4537.25,2023-11-14 08:30:00,2023-11-14 15:30:00
1087764,134631.5,134617,4649.25,4640.25,4658.25,4627.75,2023-11-15 08:30:00,2023-11-15 15:30:00
1053510,134298,134283.5,4625.75,4633.5,4643.25,4618.75,2023-11-16 08:30:00,2023-11-16 15:30:00
